Catalog,CourseId,Title,Description,LongDescription,Categories,Tags,Skills
GSL Academy,b9513d46-14eb-4eae-95aa-002f65f07715,Operations,Operations,<p>Operations</p>,,,
GSL Academy,7f1600eb-f477-488e-9302-026a4233630e,"Field Leadership - Skills, Traits, & Responsibilities - 01 Introduction to Field Leadership","Understand the foreman's role, essential duties, and responsibilities in construction project leadership, safety management, and team leadership.","<p>Introduces the field leadership curriculum by defining the role of a construction foreman and critical responsibilities including project planning, safety, quality control, team leadership, documentation, and time management. Matching assessment.</p>",,,
GSL Academy,c06ea6c4-f033-412a-b6f8-05d2821b2ab9,"Field Leadership - Skills, Traits, & Responsibilities - 03 Introduction to Project Planning and Execution","Introduces the fundamentals of project planning, scheduling, risk management, and communication for construction project execution.","<p>Covers core competencies of construction project management, distinguishing between planning and scheduling while introducing risk management and communication coordination. Matching exercise.</p>",,Schedule; Risk Assessment; Communication; Planning; Documentation,
GSL Academy,ad4f39ec-ac7a-4c3b-8d6e-06e3490a2b91,Critical Leadership Training Course,"Develop battle-tested leadership skills with Silver Star recipient and former Navy SEAL officer Jocko Willink. Learn Jocko’s four laws of leadership and his most critical tools for making better decisions, empowering your teams, and more.","<p data-pm-slice=""1 1 []"">This course, led by Jocko Willink, provides essential leadership principles and tools for decision-making, emphasizing accountability, teamwork, and empowerment. It draws on real-world experiences to teach practical strategies for effective leadership.</p>
<ul>
<li data-pm-slice=""1 1 []""><strong>Understand the four laws of leadership</strong>. These principles are foundational for managing teams effectively.</li>
<li data-pm-slice=""1 1 []"">
<p data-pm-slice=""1 1 []""><strong>Embrace extreme ownership</strong>. Taking full responsibility fosters trust and strengthens leadership.</p>
</li>
<li data-pm-slice=""1 1 []"">
<p data-pm-slice=""1 1 []""><strong>Empower your team</strong>. Encourage independence and initiative to build confidence and collaboration.</p>
</li>
<li data-pm-slice=""1 1 []"">
<p data-pm-slice=""1 1 []""><strong>Prioritize and execute tasks</strong>. Focus on critical issues first and adapt as new information arises.</p>
</li>
<li data-pm-slice=""1 1 []"">
<p data-pm-slice=""1 1 []""><strong>Communicate clearly</strong>. Clear instructions and simplicity enhance team alignment and productivity.</p>
</li>
<li data-pm-slice=""1 1 []"">
<p data-pm-slice=""1 1 []""><strong>Build trust through relationships</strong>. Foster respect and collaboration to create a strong team dynamic.</p>
</li>
<li data-pm-slice=""1 1 []"">
<p data-pm-slice=""1 1 []""><strong>Adapt to change</strong>. Flexibility and emotional intelligence are key to overcoming challenges.</p>
</li>
</ul>",,Mentor; Communication; Coaching; Field Leadership; Team Morale; Leadership; Team Leadership; Mentorship; Recognition,
GSL Academy,64d097b1-bdc3-4066-b729-071af3b1b11f,Safety Coordinator - 5.0 Safety Meetings,"Learn how to plan, facilitate, and document safety meetings to ensure compliance and effective communication.","<p>Covers planning, conducting, and documenting safety meetings. Emphasizes documentation for regulatory compliance and hazard communication. Knowledge check.</p>",,Planning; Safety Culture; Safety Coordinator; Safety Meetings,
GSL Academy,f61a148f-93a8-44c0-802f-072d9f1d6b89,"Project Structure, Delegation, and Team Development","Learn to structure your crew, delegate effectively using 10 levels, mentor team members, and use look-ahead planning as a leadership tool.","<p>Seven-lesson course on leading with accountability, org charts, delegation vs empowerment, 10 levels of delegation, mentoring, and three-week look-ahead planning. Matching exercises and interactive scenarios.</p>",,Reporting; Mentor; Planning; Coaching; Field Leadership; Time Management; Quality Control; Organization; Team Morale; Documentation; Leadership; Team Leadership; Mentorship,
GSL Academy,68c3724f-e9a9-4565-9f0b-0a9666d65698,Safe Electrical Work Practices And The 2024 NFPA 70E For Electrical Workers,"Learn safe electrical work practices based on the 2024 NFPA 70E, covering shock and arc flash hazards, approach boundaries, PPE, and equipment labels.","<p>Comprehensive 14-lesson course: two hazards of electricity, qualified person requirements, approach boundaries, arc flash boundary and PPE, electrically safe work conditions, job safety planning, energized work rules, risk assessments, table method PPE categories, and equipment labeling. 10-question final quiz.</p>",,OSHA; Safety,
GSL Academy,65b8460e-6c2e-400f-9791-0dae6d5b1cae,Abnormal Lockout / Tagout Procedures,Covers the procedures for removing a lockout device when the authorized employee who applied it is unavailable.,"<p>This course addresses the critical situation of abnormal lockout removal -- when a lockout device must be removed by someone other than the employee who placed it. Covers required verification steps, management approvals, and documentation needed to safely complete an abnormal lockout removal.</p>",,Qualified Person; Safety Protocols; Energize; Safety Culture; Hazardous Energy; Safety Coordinator; Accident & Incident Investigations; Energy Control; Lockout Tagout; Safety,
GSL Academy,a0436227-99bd-4a37-a822-0e27c6e4a46f,Conducting Effective Performance Reviews,"A structured approach to preparing, conducting, and following up on performance reviews with your team.","<p>Provides a complete framework for effective performance reviews. Learn to create a review schedule, conduct frequent one-on-one feedback sessions, take performance notes throughout the year, prepare written evaluations, and structure the review meeting using a six-step format -- from setting expectations through action planning. Includes a knowledge check on constructive feedback.</p>",,Emotional Intelligence; Communication; Motivation; Performance; Positivity; Continuous Improvement,
GSL Academy,efadbdd9-4735-4850-a63f-0f969f6197a7,Simple Lockout-Tagout Procedures,Learn simple LOTO procedures for equipment with a single energy source.,"<p>Covers fundamentals of simple LOTO: preparation, shutdown, isolation, lock application, and verification of de-energized state. Text, multimedia, and images.</p>",,Lockout Tagout; Safety,
GSL Academy,f13ac658-06d1-4bbd-aa26-107d8968e547,Leadership Foundations: Core Principles of Effective Leadership,"This comprehensive course on Leadership Foundations offers a deep dive into the core principles and practices that define effective leadership. It is designed to equip emerging and established leaders with the tools and mindsets necessary to excel in dynamic environments, whether in traditional, remote, or hybrid settings. From understanding the fundamentals of leadership and strategic thinking to leading teams and driving organizational change, the course covers a wide array of topics essential for modern leadership.

Participants will explore leadership styles, the importance of vision and communication, decision-making frameworks, and the art of leading high-performance teams. With a focus on ethical leadership, organizational politics, and managing crises, the course also delves into the complexities of leading diverse teams across cultural boundaries. Key principles of financial management, innovation, and change leadership are emphasized to ensure that leaders can navigate both stability and uncertainty effectively. Practical applications, including developing others and fostering a culture of continuous learning, are woven throughout the course to ensure sustainable leadership success.

By the end of the course, participants will be equipped with the knowledge and skills to inspire, lead, and transform their organizations while maintaining ethical standards and personal integrity.","<p>This comprehensive course on Leadership Foundations offers a deep dive into the core principles and practices that define effective leadership. It is designed to equip emerging and established leaders with the tools and mindsets necessary to excel in dynamic environments, whether in traditional, remote, or hybrid settings. From understanding the fundamentals of leadership and strategic thinking to leading teams and driving organizational change, the course covers a wide array of topics essential for modern leadership.<br />
<br />
Participants will explore leadership styles, the importance of vision and communication, decision-making frameworks, and the art of leading high-performance teams. With a focus on ethical leadership, organizational politics, and managing crises, the course also delves into the complexities of leading diverse teams across cultural boundaries. Key principles of financial management, innovation, and change leadership are emphasized to ensure that leaders can navigate both stability and uncertainty effectively. Practical applications, including developing others and fostering a culture of continuous learning, are woven throughout the course to ensure sustainable leadership success.<br />
<br />
By the end of the course, participants will be equipped with the knowledge and skills to inspire, lead, and transform their organizations while maintaining ethical standards and personal integrity.</p>",,,
GSL Academy,0ba691ac-baef-4a45-b108-10c20edbad69,"Field Leadership - Skills, Traits, & Responsibilities - 04 Introduction to Safety Management","Learn the fundamentals of safety management, including hazard identification, emergency preparedness, and fostering a strong safety culture.","<p>Covers proactive safety management for construction foremen, including identifying and mitigating risks, incident preparedness, OSHA regulations, and safety training. Emphasizes GSL's ""Zero Broken Lives"" commitment. Knowledge check quiz.</p>",,Training; Risk Assessment; Safety Culture; Proactive; Safety,
GSL Academy,48f134c9-6c32-4e87-b99e-159aa7acfb22,Introduction to Lean Construction - 06 A Brief History,Traces the origins of lean production from the Toyota Production System and its evolution across industries.,"<p>Historical overview of lean production, from its roots in the Toyota Production System through its expansion into various industries. Includes knowledge checks on key innovations.</p>",Lean Fundamentals,Manufacturing History; Toyota; Lean,
GSL Academy,e9a32413-dc55-468c-9baa-15a8ac3f9d6e,"Field Leadership – Skills, Traits, & Responsibilities - 10 Avoiding Common Time Wasters","Learn to identify and eliminate common time wasters like procrastination, unnecessary meetings, and disorganization to boost jobsite productivity.","<p>Addresses the most common time wasters encountered by field leaders. Through interactive content and knowledge checks, learners practice strategies for overcoming each time waster.</p>",,Monitor; Time Management; Meetings; Stratagy; Prioritize,
GSL Academy,2fc9698c-d6d1-47fc-b8c8-160241d4b5ab,Critical Leadership Training - 02 Leadership is About Human Interaction,"Explores how trust, listening, respect, influence, and care form the foundation of effective leadership through human interaction.","<p>Examines leadership as a relational skill, covering the five pillars of trust, listening, respect, influence, and care. Includes Extreme Ownership principles like decentralized command and detachment.</p>",,Human Connection; Action; Laws of Leadership; Influence; Leadership; Listening,
GSL Academy,30e48a20-6103-4bbb-9328-17dae62d3664,Safety Coordinator - 4.0 Task Training,Learn how to conduct and document task training to ensure employees are properly trained on hazards.,"<p>Covers the purpose and execution of task training, emphasizing documentation as proof of proper training and hazard awareness. Knowledge check.</p>",,Safety Coordinator; Task Training,
GSL Academy,a5eea6cf-ba73-44d4-9597-188f3754d5e4,"Field Leadership - Skills, Traits, & Responsibilities - 02 Roles and Responsibilities of a Foreman","Understand the distinct roles of apprentice, journeyman, and foreman, and the core responsibilities of effective foreman leadership.","<p>Same content as standalone version, repackaged as Section 1 of the Field Leadership series. Interactive sorting activities.</p>",,Communication; Resourse Management; Success; Leadership; Prioritize; Task Management,
GSL Academy,ad634592-5791-4a26-b46c-18b8bec65b33,Performance Management,"Learn the complete performance management cycle from planning and monitoring through reviews, continuous feedback, improvement plans, and managing high performers.","<p>Nine-lesson course covering plan-monitor-review cycle, effective reviews, continuous management (weekly check-ins, monthly 1:1s, snapshots), improving poor performance, PIPs, managing high performers, and leading leaders. 5-question final quiz.</p>",Continuous Improvement,Reporting; Emotional Intelligence; Discipline; Mentor; Communication; Growth; Motivation; Performance; Coaching; Positivity; Field Leadership; Continuous Improvement; Team Morale; Documentation; Leadership; Trust; Respect; Mentorship,
