Course Series,A. Field Entry,B. Journeyman,C. Leadman/Foreman,D. Superintendent,E. PM,F. Gen Super,G. Safety,H. Estimating,I. Engineering,J. Admin,K. Executive,L. Other
1. New Hire Safety Orientation,M,M,M,M,M,M,M,R,R,R,R,R
2. Lockout/Tagout,M,M,M,M,R,R,M,-,-,-,-,R
3. Hazard Communication,M,M,M,M,R,R,M,-,-,-,-,R
4. Electrical Safety (NFPA 70E),R,M,M,M,R,R,M,-,-,-,-,-
5. Fall Protection / Scaffolding,M,M,M,M,R,R,M,-,-,-,-,R
6. Safety Coordinator,-,-,M,M,R,R,M,-,-,-,-,-
7. OSHA & MSHA,R,R,M,M,R,R,M,-,-,-,-,-
8. General Safety,M,M,M,M,R,R,M,-,-,-,-,R
9. FL - Skills Traits & Responsibilities,-,-,M,M,R,R,R,-,-,-,-,-
10. FL - Anatomy of a Project,-,-,M,M,R,R,-,-,-,-,-,-
11. FL - Leadership Section 3,-,-,M,M,R,R,R,-,-,-,-,-
12. FL - Part 4 (Policy),-,-,M,M,M,M,M,R,-,R,R,R
13. Critical Leadership Training,-,R,M,M,M,M,R,-,-,-,R,-
14. Values Driven Leadership,-,-,M,M,R,M,R,-,-,-,R,-
15. Leading With EQ,R,R,M,M,M,M,R,R,R,R,M,R
16. Intro to Lean Construction,-,R,M,M,M,M,R,R,-,-,R,R
17. Accubid Estimating,-,-,-,-,R,-,-,M,R,-,-,-
18. ViewPoint Change Orders,-,-,R,M,M,R,-,-,-,-,-,-
19. The Art of Presenting,-,-,R,M,M,M,R,-,-,-,M,-
20. Performance Management,-,-,M,M,M,M,R,-,-,-,R,-
21. EAP/Mental Health,-,-,M,M,R,M,R,-,-,-,-,-
22. Miscellaneous Leadership,-,-,R,M,M,M,R,-,-,-,R,-
