Course,Source File,Skill Buckets,Skills,Difficulty (Level),,Category (First level of Course Catalog),Subcategory (Second level of Course Catalog),,Difficulty (Level),Tags,,,Mandatory For,Recommended For,Notes
1.0 Coach K Teaches Values-Driven Leadership,1-0-coach-k-teaches-values-driven-leadership-scorm12-xpvxgbur.zip,Leadership,Culture & Values,Foundational,,Leadership,Culture & Values,Leadership Fundamentals,Foundational,Values-Driven; Leadership; Values; Mission-Focused,,,Field Leadership; General Superintendent; Superintendents,Executive; Project Management; Safety,LOW confidence - verify content before finalizing
11.1 Recruit & Retain All-Star Talent,11-1-recruit-retain-all-star-talent-scorm12-ap0eangm.zip,Leadership,"Teaching,  Mentoring & Coaching",Intermediate,,Leadership,"Teaching,  Mentoring & Coaching",Workforce Management,Intermediate,Values-Driven; Leadership; Succession Planning; Team Building,,,Field Leadership; General Superintendent; Superintendents,Executive; Project Management; Safety,REVIEW: possible duplicate - Duplicate exists: values-driven-leadership-11-recruit-and-retain-all-stars-scorm12-dqqkpaaj.zip; LOW confidence - verify content before finalizing
Values Driven Leadership: 11 Recruit and Retain All-Stars,0c553a0f-d9af-40ab-9427-69df0143e71d.zip,Leadership,"Teaching,  Mentoring & Coaching",Foundational,,Leadership,"Teaching,  Mentoring & Coaching",Leadership Fundamentals,Foundational,Values-Driven; Leadership,,,Field Leadership; General Superintendent; Superintendents,Executive; Project Management; Safety,LOW confidence - verify content before finalizing
Values Driven Leadership: 15 Create a Legacy of Leaders,66943eda-fb62-4ad8-ba1e-d0ec6ff9b0ec.zip,Leadership,"Teaching,  Mentoring & Coaching",Foundational,,Leadership,"Teaching,  Mentoring & Coaching",Leadership Fundamentals,Foundational,Values-Driven; Leadership,,,Field Leadership; General Superintendent; Superintendents,Executive; Project Management; Safety,LOW confidence - verify content before finalizing
Values Driven Leadership : 9 Leading With Emotion,ab28f5f2-7325-42e0-9bea-0851cc7478d7.zip,Leadership,Soft Skills,Foundational,,Emotional Intelligence,Team Building,Leadership Fundamentals,Foundational,Values-Driven; Leadership,,,Field Leadership; General Superintendent; Superintendents,Executive; Project Management; Safety,LOW confidence - verify content before finalizing
Values Driven Leadership: 16 Make a Habit of Motivation,afc32b71-9f5d-432c-9ab9-80e79b9d98b1.zip,Leadership,Soft Skills,Foundational,,Emotional Intelligence,Team Building,Leadership Fundamentals,Foundational,Values-Driven; Leadership; Motivation,,,Field Leadership; General Superintendent; Superintendents,Executive; Project Management; Safety,LOW confidence - verify content before finalizing
Avoiding Common Time Wasters,avoiding-common-time-wasters-introduction-to-field-leadership-section-1-scorm12-_pz4ofaz.zip,Leadership,Personal Accounability,Foundational,,Time Management,,,Foundational,time wasters; productivity; Field Leadership; prioritization,,,Field Leadership; Superintendents,General Superintendent; Project Management; Safety,LOW confidence - verify content before finalizing
Conducting Effective Performance Reviews,conducting-effective-performance-reviews-scorm12-8ihyn2kz.zip,Leadership,Soft Skills,Foundational,,Communication,Counselling,Performance,Foundational,performance; Feedback; evaluations; performance management; Coaching,,,Field Leadership; General Superintendent; Project Management; Superintendents,Executive; Safety,REVIEW: possible duplicate - Three versions of this course exist in the catalog. Need to determine if they differ or are duplicates.; LOW confidence - verify content before finalizing
Roles and Responsibilities of a Foreman,roles-and-responsibilities-of-a-foreman-scorm12-fuwrpeep.zip,Leadership,Personal Accounability,Foundational,,Foreman Role & Responsibilities,Leadership,"Skills, Traits, & Responsibilities",Foundational,foreman; Foreman Training; Field Leadership; roles; Responsibility,,,Field Leadership; Superintendents,General Superintendent; Project Management; Safety,
Building and Maintaining Team Morale,building-and-maintaining-team-morale-introduction-to-field-leadership-section-1-scorm12-qbritjmd.zip,Leadership,,Foundational,,Team Motivation Fundamentals,Leadership,"Skills, Traits, & Responsibilities",Foundational,morale; Motivation; Field Leadership; Team Building; Recognition,,,Field Leadership; Superintendents,General Superintendent; Project Management; Safety,LOW confidence - verify content before finalizing
Chapter 0 - Introduction to Critical Leadership Training,chapter-0-introduction-to-critical-leadership-training-scorm12-qolorhhv.zip,Leadership,,Foundational,,Leadership,Leadership,Accountability,Foundational,Leadership; Leadership Basics; fundamentals; training,,,Field Leadership; General Superintendent; Project Management; Superintendents,Executive; Field Journeyman; Safety,LOW confidence - verify content before finalizing
Chapter 1 - What Makes A Leader,chapter-1-what-makes-a-leader-scorm12-gkna64je.zip,Leadership,,Foundational,,Leadership,Leadership,Leadership Fundamentals,Foundational,Leadership; Leadership Basics; fundamentals,,,Field Leadership; General Superintendent; Project Management; Superintendents,Executive; Field Journeyman; Safety,LOW confidence - verify content before finalizing
Chapter 10 Avoiding Common Time Wasters,chapter-10-avoiding-common-time-wasters-scorm12-rakckav4.zip,Leadership,,Foundational,,Time Management,Leadership,"Skills, Traits, & Responsibilities",Foundational,time wasters; productivity; Field Leadership; prioritization,,,Field Leadership; Superintendents,General Superintendent; Project Management; Safety,REVIEW: possible duplicate - Likely duplicate of 'Avoiding Common Time Wasters- Introduction to Field Leadership Section - 1' (Batch 1). Verify and consolidate.; LOW confidence - verify content before finalizing
Chapter 10 - Conclusion: Leadership is the Most Important Skill,chapter-10-conclusion-leadership-is-the-most-important-skill-scorm12-2vctenpb.zip,Leadership,,Foundational,,Leadership,Leadership,Leadership Fundamentals,Foundational,Leadership; Leadership Basics,,,Field Entry; Field Journeyman; Field Leadership; Superintendents,,LOW confidence - verify content before finalizing
Chapter 11 Building and Maintaining Team Morale,chapter-11-building-and-maintaining-team-morale-scorm12-o9ngi2ph.zip,Leadership,,Foundational,,Team Motivation Fundamentals,Leadership,"Skills, Traits, & Responsibilities",Foundational,morale; Motivation; Field Leadership; Team Building,,,Field Leadership; Superintendents,General Superintendent; Project Management; Safety,REVIEW: possible duplicate - Likely duplicate of 'Building and Maintaining Team Morale- Introduction to Field Leadership Section - 1' (Batch 2). Verify and consolidate.; LOW confidence - verify content before finalizing
Chapter 12 Using Tool and Technology,chapter-12-using-tool-and-technology-scorm12-jzhv6nfe.zip,Leadership,,Foundational,,Tool & Equipment Management,Leadership,Tools & Technology,Foundational,technology; Field Leadership; software; productivity,,,Field Leadership; Superintendents,General Superintendent; Project Management; Safety,LOW confidence - verify content before finalizing
Chapter 2 - Leadership is About Human Interaction,chapter-2-leadership-is-about-human-interaction-scorm12-hfyi9tl7.zip,Leadership,,Foundational,,Leadership,Leadership,Leadership Fundamentals,Foundational,Leadership; Leadership Basics,,,Field Leadership; General Superintendent; Project Management; Superintendents,Executive; Field Journeyman; Safety,LOW confidence - verify content before finalizing
Chapter 3 - Coordinating with Other Trades-,chapter-3-coordinating-with-other-trades-scorm12-e-hl3uzr.zip,Leadership,,Foundational,,Trade Coordination,Leadership,"Skills, Traits, & Responsibilities",Foundational,job plan; Planning,,,Field Leadership; Superintendents,General Superintendent; Project Management,LOW confidence - verify content before finalizing
Chapter 3 Introduction to Project Planning and Execution,chapter-3-introduction-to-project-planning-and-execution-scorm12-7wuf3mox.zip,Leadership,,Foundational,,Field Supervision,Leadership,"Skills, Traits, & Responsibilities",Foundational,Field Leadership; Planning,,,Field Leadership; Superintendents,General Superintendent; Project Management; Safety,LOW confidence - verify content before finalizing
Chapter 3 - New Manager 101,chapter-3-new-manager-101-scorm12-yduvl08s.zip,Leadership,,Foundational,,Leadership,Leadership,Leadership Fundamentals,Foundational,Leadership,,,Field Leadership; General Superintendent; Project Management; Superintendents,Executive; Field Journeyman; Safety,LOW confidence - verify content before finalizing
Chapter 5 - Extreme Ownership,chapter-5-extreme-ownership-scorm12-ec9unjhp.zip,Leadership,,Intermediate,,Extreme Ownership,Leadership,Extreme Ownership,Intermediate,Leadership; Ownership,,,Field Leadership; General Superintendent; Project Management; Superintendents,Executive; Field Journeyman; Safety,LOW confidence - verify content before finalizing
Chapter 5 - Introduction to Quality Control,chapter-5-introduction-to-quality-control-scorm12-hzjpxur3.zip,Leadership,,Foundational,,Field Supervision,Leadership,"Skills, Traits, & Responsibilities",Foundational,Field Leadership,,,Field Leadership; Superintendents,General Superintendent; Project Management; Safety,LOW confidence - verify content before finalizing
Chapter 5 - Manpower Projection,chapter-5-manpower-projection-scorm12-nxcglu2o.zip,Leadership,,Intermediate,,Manpower Projection,Leadership,Resource Planning,Intermediate,job plan; Planning,,,Field Leadership; Superintendents,General Superintendent; Project Management,LOW confidence - verify content before finalizing
Chapter 6 - Leadership Law 1: Cover and Move,chapter-6-leadership-law-1-cover-and-move-scorm12-8ifufrcg.zip,Leadership,,Foundational,,Leadership,Leadership,Leadership Fundamentals,Foundational,Leadership; Leadership Basics,,,Field Leadership; General Superintendent; Project Management; Superintendents,Executive; Field Journeyman; Safety,LOW confidence - verify content before finalizing
Chapter 8 - Leadership Law 3: Prioritize and Execute,chapter-8-leadership-law-3-prioritize-and-execute-scorm12-t3uuyi2b.zip,Leadership,,Foundational,,Leadership,Leadership,Leadership Fundamentals,Foundational,Leadership; Leadership Basics,,,Field Leadership; General Superintendent; Project Management; Superintendents,Executive; Field Journeyman; Safety,LOW confidence - verify content before finalizing
Critical Leadership Training,92ea63ef-4606-43f5-a757-6fc60095cab4.zip,Leadership,,Foundational,,Leadership,Leadership,Leadership Fundamentals,Foundational,Leadership,,,Field Leadership; General Superintendent; Project Management; Superintendents,Executive; Field Journeyman; Safety,LOW confidence - verify content before finalizing
Copy of Introduction to Field Leadership Section - 1 Skills Traits & Responsibilities,9e098bfe-2470-4cfd-a8c8-83618f5534df.zip,Leadership,,Foundational,,Leadership,Leadership,Leadership Fundamentals,Foundational,Leadership,,,Field Leadership; Superintendents,,
Chapter 9 - Leadership Law 4: Decentralize Command,chapter-9-leadership-law-4-decentralize-command-scorm12-k-7vhy3i.zip,Leadership,,Foundational,,Leadership,Leadership,Leadership Fundamentals,Foundational,Leadership; Leadership Basics,,,Field Leadership; General Superintendent; Project Management; Superintendents,Executive; Field Journeyman; Safety,LOW confidence - verify content before finalizing
Chapter 9 Time Management,chapter-9-time-management-scorm12-gifb0r3z (1).zip,Leadership,,Foundational,,Time Management,Leadership,"Skills, Traits, & Responsibilities",Foundational,Field Leadership,,,Field Leadership; Superintendents,,LOW confidence - verify content before finalizing
Conducting effective Performance Reviews - AI video generated with Synthesia,conducting effective performance reviews - scorm.zip,Leadership,,Foundational,,Performance Reviews,Leadership,Performance,Foundational,performance; Feedback,,,Field Leadership; General Superintendent; Project Management; Superintendents,Executive; Safety,LOW confidence - verify content before finalizing
Coordinating with Other Trades- Introduction to Field Leadership Section 2,coordinating-with-other-trades-introduction-to-field-leadership-section-2-scorm12-vclfcl72.zip,Leadership,,Foundational,,Trade Coordination,Leadership,"Skills, Traits, & Responsibilities",Foundational,job plan; Planning,,,Field Leadership; Superintendents,General Superintendent; Project Management,LOW confidence - verify content before finalizing
Copy of Introduction to Field Leadership Section 3 - Leadership,copy-of-introduction-to-field-leadership-section-3-leadership-scorm12-ehy1h9md.zip,Leadership,,Foundational,,Leadership,Leadership,Leadership Fundamentals,Foundational,Leadership,,,Field Leadership; Superintendents,General Superintendent; Project Management; Safety,
Corrective Counseling and Performance Reviews (d),corrective-counseling-and-performance-reviews-d-scorm12-dgptjd8r.zip,Leadership,,Foundational,,Corrective Counseling,Leadership,Performance,Foundational,performance; Feedback,,,Field Leadership; General Superintendent; Project Management; Superintendents,Executive; Safety,
Introduction to Field Leadership Part 2 - Anatomy of a Project,13d9715d-6384-46be-8cf3-eccf3325481d.zip,Leadership,,Foundational,,Project Planning,Leadership,Project Planning & Scheduling,Foundational,job plan; Planning,,,Field Leadership; Superintendents,,LOW confidence - verify content before finalizing
Introduction- Introduction to Field Leadership Section - 1 Skills Traits & Responsibilities,introduction-introduction-to-field-leadership-section-1-skills-traits-responsibilities-scorm12-k-mbpeuu.zip,Leadership,,Foundational,,Field Supervision,Leadership,"Skills, Traits, & Responsibilities",Foundational,Field Leadership,,,Field Leadership; Superintendents,General Superintendent; Project Management; Safety,LOW confidence - verify content before finalizing
Introduction to Field Leadership Part - 4 Policy,introduction-to-field-leadership-part-4-policy-scorm12-vyeh7q-b.zip,Leadership,,Foundational,,Leadership,Leadership,Leadership Fundamentals,Foundational,Leadership,,,Field Leadership; General Superintendent; Project Management; Safety; Superintendents,Administration; Estimating; Executive; Other/Specialized,LOW confidence - verify content before finalizing
Introduction to Field Leadership Section - 1 Skills Traits & Responsibilities,introduction-to-field-leadership-section-1-skills-traits-responsibilities-scorm12-pjqoieo4.zip,Leadership,,Foundational,,Leadership,Leadership,Leadership Fundamentals,Foundational,Leadership,,,Field Leadership; Superintendents,General Superintendent; Project Management; Safety,
Introduction to Project Planning and Execution- Introduction to Field Leadership Section - 1,introduction-to-project-planning-and-execution-introduction-to-field-leadership-section-1-scorm12-gsezq1ll.zip,Leadership,,Foundational,,Field Supervision,Leadership,"Skills, Traits, & Responsibilities",Foundational,Field Leadership; Planning,,,Field Leadership; Superintendents,General Superintendent; Project Management; Safety,LOW confidence - verify content before finalizing
Introduction to Quality Control- Introduction to Field Leadership Section - 1,introduction-to-quality-control-introduction-to-field-leadership-section-1-scorm12-gxmgfvvz.zip,Leadership,,Foundational,,Field Supervision,Leadership,"Skills, Traits, & Responsibilities",Foundational,Field Leadership,,,Field Leadership; Superintendents,General Superintendent; Project Management; Safety,LOW confidence - verify content before finalizing
Job Closeout- Introduction to Field Leadership Section 2,job-closeout-introduction-to-field-leadership-section-2-scorm12-n6l4pbci.zip,Leadership,,Foundational,,Project Planning,Leadership,Project Planning & Scheduling,Foundational,job plan; Planning,,,Field Leadership; Superintendents,General Superintendent; Project Management,LOW confidence - verify content before finalizing
Leadership & Decision-Making Under Pressure,leadership-decision-making-under-pressure-scorm12-AIhn49zc.zip,Leadership,,Foundational,,Strategic Thinking,Leadership,Leadership Fundamentals,Foundational,Leadership,,,General Superintendent; Project Management; Superintendents,Executive; Field Leadership; Safety,LOW confidence - verify content before finalizing
Leadership Essentials- Introduction to Field Leadership Section 3,leadership-essentials-introduction-to-field-leadership-section-3-scorm12-bzr6yskm.zip,Leadership,,Foundational,,Leadership,Leadership,Leadership Fundamentals,Foundational,Leadership,,,Field Leadership; Superintendents,General Superintendent; Project Management; Safety,
Leadership Law 2: Keep it Simple,leadership-law-2-keep-it-simple-scorm12-dsimqrvx.zip,Leadership,,Foundational,,Leadership,Leadership,Leadership Fundamentals,Foundational,Leadership; Leadership Basics,,,Field Leadership; General Superintendent; Project Management; Superintendents,Executive; Field Journeyman; Safety,LOW confidence - verify content before finalizing
Managing Sub-contractors,3f5b3717-553b-4e66-96bc-faa72589fe5d.zip,Leadership,,Intermediate,,Trade Coordination,Leadership,"Skills, Traits, & Responsibilities",Intermediate,coordination; supervision,,,General Superintendent; Project Management; Superintendents,Executive; Field Leadership; Safety,
Manpower Projection - Introduction to Field Leadership Section 2 -,manpower-projection-introduction-to-field-leadership-section-2-scorm12-9-7cbil_.zip,Leadership,,Intermediate,,Manpower Projection,Leadership,Resource Planning,Intermediate,job plan; Planning,,,Field Leadership; Superintendents,General Superintendent; Project Management,LOW confidence - verify content before finalizing
