Name,Id,CatalogId,IsOurCatalog,SkillCount,Skills
Hazards,00820c4c-5acb-4851-47e2-08de9af38d32,b1670146-674a-4730-9e9d-d7d29ba52385,True,2,Chemical Hazard Identification1; Atmospheric Hazard Detection
Orginization Skills - old,02f3bc67-9400-46b3-816b-c64c622c2e2e,6dec10c7-41f0-4bdc-8305-75171ac3de04,False,0,
Scheduling - old,08645d04-1645-433d-aef3-536c274f8f98,070e3f2e-79cc-43ff-b0bb-1952a69cfc08,False,1,Project Planning
Documentation - old,0cd52146-25db-4a27-a343-a5bc5e0ad430,6dec10c7-41f0-4bdc-8305-75171ac3de04,False,0,
Delegation,1363f508-5e33-4e1e-001e-08de9af247f7,b1670146-674a-4730-9e9d-d7d29ba52385,True,1,Delegation and Ownership
Production and Efficiency - old,14f7e28c-c864-4984-9327-21480b8fef81,6dec10c7-41f0-4bdc-8305-75171ac3de04,False,0,
Project Procedure - old,1b47e17d-6b10-459f-9ada-263664b71ba3,070e3f2e-79cc-43ff-b0bb-1952a69cfc08,False,1,Manpower Forecasting
Training and Development - old,1f682c80-5898-4305-b196-09bbcac7aefe,6dec10c7-41f0-4bdc-8305-75171ac3de04,False,0,
Compliance - old,291a5aba-ea60-445d-acb8-2f47ca200cbe,6dec10c7-41f0-4bdc-8305-75171ac3de04,False,0,
Communication - old,2a0e1b2a-eaf1-4a5d-a332-c302649f9c3a,6dec10c7-41f0-4bdc-8305-75171ac3de04,False,0,
Documentation & Compliance,2bd14b80-032e-434a-fb96-08de57079453,b1670146-674a-4730-9e9d-d7d29ba52385,True,0,
Software - old,325f6a27-d757-49a6-81b0-c9c593260857,6dec10c7-41f0-4bdc-8305-75171ac3de04,False,0,
Leadership - old,373376c7-4e75-468f-8154-f3da1832d269,6dec10c7-41f0-4bdc-8305-75171ac3de04,False,1,Delegation Skills
Project Managerment,3dd8c391-5651-4074-47e3-08de9af38d32,b1670146-674a-4730-9e9d-d7d29ba52385,True,1,Change Orders
Software Proficiency - old,4523a0f9-0ea7-41d5-93d9-5fce8435c788,6dec10c7-41f0-4bdc-8305-75171ac3de04,False,0,
Personal Readiness,47099c44-b781-411a-3d10-08de79248bc3,b1670146-674a-4730-9e9d-d7d29ba52385,True,2,Mental Rehearsal; Leadership Presence
Lean Principles - old,527bf620-8aeb-4c18-8928-79c6921d58a1,6dec10c7-41f0-4bdc-8305-75171ac3de04,False,0,
Document Control - old,54af5ea0-9662-4177-9688-7e27d76358d9,070e3f2e-79cc-43ff-b0bb-1952a69cfc08,False,0,
Professional Development,666ebaf9-b1c2-4fb0-9380-9090894f72b6,6dec10c7-41f0-4bdc-8305-75171ac3de04,False,0,
Leadership Skills - old,6693888a-f6e6-4813-b025-8684c87995a2,e6eeedce-5092-416a-b16c-d1ca971f4587,False,0,
Professional Standards - old,68daf4e3-ea16-4e44-9b71-6a8614e9e976,6dec10c7-41f0-4bdc-8305-75171ac3de04,False,1,Corrective Counseling
Planning - old,69ca34aa-6f5c-4fb9-aef4-bf7e71b78944,6dec10c7-41f0-4bdc-8305-75171ac3de04,False,1,Strategic Thinking
Construction Software,6c2d0081-b3ba-40f2-537a-08de57079271,b1670146-674a-4730-9e9d-d7d29ba52385,True,9,ProCore Job Plans; Excel Skills; ProCore Fundamentals; Accubid Data Export; Trimbal Accubid; Teams; Job Plan Setup; Outlook; Job Plan Fundamentals
Professional Development,6f70e189-ec6e-4553-1b29-08de570791a8,b1670146-674a-4730-9e9d-d7d29ba52385,True,2,Change Orders; Presentation Skills
Soft Skills - old,7015c32c-9d3c-411b-b291-b3c31252f596,6dec10c7-41f0-4bdc-8305-75171ac3de04,False,0,
Soft Skills - old,7c364016-887a-4cee-807e-91a3af5cd649,d3c56e4d-aa58-4581-a523-1c39f0d62619,False,0,
Organization Skills - old,7c7d3723-ac10-4fda-ba14-2cb6727d772d,6dec10c7-41f0-4bdc-8305-75171ac3de04,False,0,
Record Keeping - old,8214b1e4-3e17-4f7a-b73a-e82441f436e8,6dec10c7-41f0-4bdc-8305-75171ac3de04,False,0,
Computer - old,85a9d20b-d6ad-4b68-bf06-a74e0e7d24fa,6dec10c7-41f0-4bdc-8305-75171ac3de04,False,0,
Engineering - old,8e683bf3-4f4b-4363-8f91-a09c7a725d45,070e3f2e-79cc-43ff-b0bb-1952a69cfc08,False,0,
Cost Control - old,905bf959-b991-41da-977e-57f97a8c0e60,070e3f2e-79cc-43ff-b0bb-1952a69cfc08,False,0,
Safety Protocols - old,93025f90-1e13-498e-b081-4ad2a78f5181,e6eeedce-5092-416a-b16c-d1ca971f4587,False,0,
Lock-Out / Tag-Out,97e20f94-e9e2-4ac8-001b-08de9af247f7,b1670146-674a-4730-9e9d-d7d29ba52385,True,1,Abnormal Lock Removal
Manpower,9d40ce1a-6405-4a6f-a7a4-37b4440351a4,070e3f2e-79cc-43ff-b0bb-1952a69cfc08,False,0,
Planning,9dcc8fe2-75b8-483c-8262-22c287ddc54b,070e3f2e-79cc-43ff-b0bb-1952a69cfc08,False,1,Project Planning
Lean Construction,9f6f430d-b533-4380-1b28-08de570791a8,b1670146-674a-4730-9e9d-d7d29ba52385,True,1,Lean History
