SOP ID,SOP Title,Phase,Roles (RACI),Primary JD,Related SOPs,Formerly
9.1.050,9.1.050  Construction Takeoff,,,,,
9.2.030,9.2.030 Review Contract for Unfavorable or High-Risk Clauses,2 – Preconstruction,PM; Branch Manager; Contracts Admin,,9.2.110,Formerly 9.41.015
9.2.055,9.2.055 – Compare Est. vs. Planned,3 – Preconstruction,,,,
9.2.090,9.2.090 Develop Labor Budget,2 – Preconstruction,PM; General Superintendent; Estimator; Branch Manager,,9.2.100; 9.2.110,Formerly 9.41.065
9.2.100,9.2.100 Prepare Layout & Sequencing Plan,2 – Preconstruction,PM; Field Supervisor; General Superintendent; Safety,,9.2.090; 9.2.110,Formerly 9.41.070
9.2.110,9.2.110 Develop Project Schedule,2 – Preconstruction,PM; General Superintendent; Purchasing; Branch Manager,,9.2.090; 9.2.080; 9.2.120,Formerly 9.41.075
9.2.120,9.2.120 Establish Tracking & Control Systems,2 – Preconstruction,PM; Field Supervisor; Purchasing; Safety; Branch Manager,,9.2.110; 9.2.130,Formerly 9.41.080
9.2.130,9.2.130 Construction Execution Kickoff Meeting,2 – Preconstruction,PM; General Superintendent; Field Supervisor; Purchasing; Safety; Branch Manager,,9.2.120,Formerly 9.41.085
9.3.010,9.3.010 Setup Office Trailer,3 – Mobilization & Job Site Setup,PM; Site Administrator; General Superintendent; IT/Communications,,9.3.020; 9.3.030,Formerly 9.41.090
9.3.010,9.3.010 Setup Office Trailer,3 – Mobilization & Job Site Setup,PM; Site Administrator; General Superintendent; IT/Communications,,9.3.020; 9.3.030,Formerly 9.41.090
9.3.020,9.3.020 Setup Storage Trailer,3 – Mobilization & Job Site Setup,PM; Field Supervisor; Safety,,9.3.010; 9.3.100,Formerly 9.41.095
9.3.020,9.3.020 Setup Storage Trailer,3 – Mobilization & Job Site Setup,PM; Field Supervisor; Safety,,9.3.010; 9.3.100,Formerly 9.41.095
9.3.030,9.3.030 Setup Site Fencing and Access Control,3 – Mobilization & Job Site Setup,PM; Field Supervisor; Safety; Security Personnel,,9.3.080; 9.3.090,Formerly 9.41.100
9.3.030,9.3.030 Setup Site Fencing and Access Control,3 – Mobilization & Job Site Setup,PM; Field Supervisor; Safety; Security Personnel,,9.3.080; 9.3.090,Formerly 9.41.100
9.3.040,9.3.040 Setup Temporary Power,3 – Mobilization & Job Site Setup,PM; Field Supervisor; Electrical Subcontractor; Safety,,9.3.010; 9.3.070,Formerly 9.41.105
9.3.040,9.3.040 Setup Temporary Power,3 – Mobilization & Job Site Setup,PM; Field Supervisor; Electrical Subcontractor; Safety,,9.3.010; 9.3.070,Formerly 9.41.105
9.3.050,9.3.050 Setup Temporary Water,3 – Mobilization & Job Site Setup,PM; Field Supervisor; Safety,,9.3.060; 9.3.040,Formerly 9.41.110
9.3.050,9.3.050 Setup Temporary Water,3 – Mobilization & Job Site Setup,PM; Field Supervisor; Safety,,9.3.060; 9.3.040,Formerly 9.41.110
9.3.060,9.3.060 Setup Sanitary Facilities,3 – Mobilization & Job Site Setup,PM; Field Supervisor; Safety,,9.3.050,Formerly 9.41.115
9.3.060,9.3.060 Setup Sanitary Facilities,3 – Mobilization & Job Site Setup,PM; Field Supervisor; Safety,,9.3.050,Formerly 9.41.115
9.3.070,9.3.070 Setup Temporary Lighting,3 – Mobilization & Job Site Setup,PM; Field Supervisor; Electrical Subcontractor; Safety,,9.3.040,Formerly 9.41.120
