course_id,filename,title,skill_level_set,category,proficiency_level,series_name,series_order
chapter-8-introducti,chapter-8-introduction-to-effective-communication-scorm12-k6p_uqpq (1).zip,Chapter 8 Introduction to Effective Communication,Communication & Coaching,Communication & Interpersonal,Awareness,Chapter 8 Introduction to Effective Communication,8
counseling-and-performance-reviews-d-scorm12-dgptjd8r,corrective-counseling-and-performance-reviews-d-scorm12-dgptjd8r.zip,Corrective Counseling and Performance Reviews (d),Communication & Coaching,Communication & Interpersonal,Basic,,
6900d60b-d412-4bc1-a,6900d60b-d412-4bc1-aab7-d068f5c8eb0e (1).zip,Advanced Trimble Accubid Classic Pro,Construction Software,Construction Software,Advanced,,
5b41-4f64-97cd-9e3cf916414e,3354da97-5b41-4f64-97cd-9e3cf916414e.zip,Approving Change Orders in ViewPoint,Construction Software,Construction Software,Basic,,
1-job-plan-theory-scorm12-lhuuftlp,chapter-1-job-plan-theory-scorm12-lhuuftlp.zip,Chapter 1 Job Plan Theory,Construction Software,Construction Software,Proficient,Chapter 1 Job Plan Theory,1
a-pending-change-orders-in-view-point-scorm12-cir_kuef,creating-a-pending-change-orders-in-view-point-scorm12-cir_kuef.zip,Creating a Pending Change Orders in ViewPoint,Construction Software,Construction Software,Basic,,
accubid-pro-scorm12-c6av2ijj,learning-accubid-pro-scorm12-c6av2ijj.zip,Learning Accubid Pro,Construction Software,Construction Software,Basic,,
7-introduction-to-documentation-and-reporting-scorm12-kjbidn5r,chapter-7-introduction-to-documentation-and-reporting-scorm12-kjbidn5r.zip,Chapter 7 Introduction to Documentation and Reporting,Documentation & Compliance,Project Management,Awareness,Chapter 7 Introduction to Documentation and Reporting,7
inspections-pre-task-assessments-briefings-scorm12-mpjt1kbi,workplace-inspections-pre-task-assessments-briefings-scorm12-mpjt1kbi.zip,"Workplace Inspections, Pre-Task Assessments, Briefings",Documentation & Compliance,Project Management,Proficient,,
self-regulation-scorm12-dmovz3bh,boosting-self-regulation-scorm12-dmovz3bh.zip,Boosting Self-Regulation,Emotional Intelligence,Communication & Interpersonal,Basic,,
01-what-is-emotional-intelligence-eq-scorm12-byirin-l,chapter-01-what-is-emotional-intelligence-eq-scorm12-byirin-l.zip,Chapter 01 - What Is Emotional Intelligence (EQ)?,Emotional Intelligence,Communication & Interpersonal,Awareness,Chapter 01 - What Is Emotional Intelligence (EQ)?,1
6-enhancing-your-social-skills-scorm12-idczjurm,chapter-6-enhancing-your-social-skills-scorm12-idczjurm.zip,Chapter 6 - Enhancing Your Social Skills,Emotional Intelligence,Communication & Interpersonal,Basic,Chapter 6 - Enhancing Your Social Skills,6
empathy-scorm12-vhcmzfyl,developing-empathy-scorm12-vhcmzfyl.zip,Developing Empathy,Emotional Intelligence,Communication & Interpersonal,Basic,,
social-skills-scorm12-prqpfyxi,enhancing-social-skills-scorm12-prqpfyxi.zip,Enhancing Social Skills,Emotional Intelligence,Communication & Interpersonal,Basic,,
self-awareness-scorm12-nv0knu1a,improving-self-awareness-scorm12-nv0knu1a.zip,Improving Self-Awareness,Emotional Intelligence,Communication & Interpersonal,Awareness,,
0091-418e-9b45-cee6a5b3aa9c,f40629c8-0091-418e-9b45-cee6a5b3aa9c.zip,Leading With Emotional Intelligence,Emotional Intelligence,Communication & Interpersonal,Basic,,
is-emotional-intelligence-scorm12-2b6hr7hq,what-is-emotional-intelligence-scorm12-2b6hr7hq.zip,What Is Emotional Intelligence?,Emotional Intelligence,Communication & Interpersonal,Awareness,,
0-coach-k-teaches-values-driven-leadership-scorm12-xpvxgbur,1-0-coach-k-teaches-values-driven-leadership-scorm12-xpvxgbur.zip,1.0 Coach K Teaches Values-Driven Leadership,Leadership & Field Management,Leadership & Management,Basic,Coach K Teaches Values,1.0
1-recruit-retain-all-star-talent-scorm12-ap0eangm,11-1-recruit-retain-all-star-talent-scorm12-ap0eangm.zip,11.1 Recruit & Retain All-Star Talent,Leadership & Field Management,Leadership & Management,Basic,Recruit & Retain All,11.1
and-maintaining-team-morale-introduction-to-field-leadership-section-1-scorm12-qbritjmd,building-and-maintaining-team-morale-introduction-to-field-leadership-section-1-scorm12-qbritjmd.zip,Building and Maintaining Team Morale- Introduction to Field Leadership Section - 1,Leadership & Field Management,Leadership & Management,Awareness,,
0-introduction-to-critical-leadership-training-scorm12-qolorhhv,chapter-0-introduction-to-critical-leadership-training-scorm12-qolorhhv.zip,Chapter 0 - Introduction to Critical Leadership Training,Leadership & Field Management,Leadership & Management,Awareness,Chapter 0 - Introduction to Critical Leadership Training,
chapter-02-what-you-,chapter-02-what-you-need-to-know-scorm12-n-qj69jo (1).zip,Chapter 02 - What You Need to Know,Leadership & Field Management,Leadership & Management,Awareness,Chapter 02 - What You Need to Know,2
