Slug;Code;Title;Series;Type;UUID;Locale;Lessons;Quiz;KC;Skills
6900d60b-d412-4bc1-aab7-d068f5c8eb0e;ACC-00;Advanced Trimble Accubid Classic Pro;ACC;SKILLS;Y;Y;22;;Y;SK-113, SK-006, SK-055
learning-accubid-pro-scorm12-c6av2ijj;ACC-01;Learning Accubid Pro;ACC;SKILLS;;Y;39;;Y;SK-113, SK-115, SK-055
the-art-of-presenting-1-of-3-scorm12-8zxc6t4x;AOP-00;The Art of Presenting - 1 of 3;AOP;SKILLS;;;0;;;SK-102
the-art-of-presenting-2-of-3-scorm12-l_ebmf_n;AOP-01;The Art of Presenting - 2 of 3;AOP;SKILLS;;;0;;;SK-102
the-art-of-presenting-3-of-3-scorm12-medonbco;AOP-02;The Art of Presenting - 3 of 3;AOP;SKILLS;;;0;;;SK-102
the-art-of-presenting-chapter-1-the-power-of-great-presenting-scorm12-vamagq-w;AOP-03;The Art of Presenting - Chapter 1: The Power of Great Presenting;AOP;SKILLS;;;0;;;SK-102
the-art-of-presenting-chapter-2-the-givers-mindset-scorm12-ku2y7zgl;AOP-04;The Art of Presenting - Chapter 2: The Giver's Mindset;AOP;SKILLS;;;0;;;SK-102
the-art-of-presenting-chapter-3-building-your-outline-scorm12-c-q6adkv;AOP-05;The Art of Presenting - Chapter 3: Building Your Outline;AOP;SKILLS;;;0;;;SK-102
the-art-of-presenting-chapter-5-a-preparing-to-present-scorm12-1s5yhlrb;AOP-06;The Art of Presenting - Chapter 5a: Preparing to Present;AOP;SKILLS;;;0;;;SK-102
the-art-of-presenting-chapter-6-making-a-first-impression-scorm12-wmxcgy5v;AOP-07;The Art of Presenting - Chapter 6: Making a First Impression;AOP;SKILLS;;;0;;;SK-102
the-art-of-presenting-chapter-7-a-1-delivering-your-presentation-scorm12-bz_habq9;AOP-08;The Art of Presenting - Chapter 7a.1: Delivering Your Presentation;AOP;SKILLS;;;0;;;SK-102, SK-103
the-art-of-presenting-chapter-7-a-delivering-your-presentation-scorm12-mda1rlln;AOP-09;The Art of Presenting - Chapter 7a: Delivering Your Presentation;AOP;SKILLS;;;0;;;SK-102, SK-103
the-art-of-presenting-chapter-7-b-delivering-your-presentation-scorm12-w8rvumau;AOP-10;The Art of Presenting - Chapter 7b: Delivering Your Presentation;AOP;SKILLS;;;0;;;SK-102, SK-103
the-art-of-presenting-chapter-7-d-delivering-your-presentation-scorm12-rqczlxog;AOP-11;The Art of Presenting - Chapter 7d: Delivering Your Presentation;AOP;SKILLS;;;0;;;SK-102, SK-103
the-art-of-presenting-chapter-4-creating-your-slides-scorm12-0sloaxu1;AOP-12;The Art of Presenting -Chapter 4: Creating Your Slides;AOP;SKILLS;;;0;;;SK-102, SK-103
chapter-0-introduction-to-critical-leadership-training-scorm12-qolorhhv;CLT-00;Chapter 0 - Introduction to Critical Leadership Training;CLT;INTRO;;Y;1;;;SK-011, SK-008, SK-009, SK-010, SK-037
chapter-1-what-makes-a-leader-scorm12-gkna64je;CLT-01;Chapter 1 - What Makes A Leader;CLT;SKILLS;;Y;2;;Y;SK-011, SK-012, SK-036, SK-037, SK-099
chapter-10-conclusion-leadership-is-the-most-important-skill-scorm12-2vctenpb;CLT-02;Chapter 10 - Conclusion: Leadership is the Most Important Skill;CLT;SKILLS;;Y;1;;;SK-011, SK-008, SK-009, SK-037
chapter-2-leadership-is-about-human-interaction-scorm12-hfyi9tl7;CLT-03;Chapter 2 - Leadership is About Human Interaction;CLT;SKILLS;;Y;2;;Y;SK-011, SK-112, SK-008, SK-009, SK-037
chapter-5-extreme-ownership-scorm12-ec9unjhp;CLT-04;Chapter 5 - Extreme Ownership;CLT;SKILLS;;Y;2;;Y;SK-010, SK-011, SK-008, SK-009, SK-028
chapter-6-leadership-law-1-cover-and-move-scorm12-8ifufrcg;CLT-05;Chapter 6 - Leadership Law 1: Cover and Move;CLT;SKILLS;;Y;2;;Y;SK-011, SK-037, SK-099
chapter-8-leadership-law-3-prioritize-and-execute-scorm12-t3uuyi2b;CLT-06;Chapter 8 - Leadership Law 3: Prioritize and Execute;CLT;SKILLS;;Y;2;;Y;SK-011, SK-036, SK-037, SK-112
chapter-9-leadership-law-4-decentralize-command-scorm12-k-7vhy3i;CLT-07;Chapter 9 - Leadership Law 4: Decentralize Command;CLT;SKILLS;;Y;2;;Y;SK-011, SK-005, SK-008, SK-009, SK-031
critical-leadership-training-scorm12-cgy5ZMn8;CLT-08;Critical Leadership Training;CLT;SKILLS;;Y;13;;Y;SK-011, SK-008, SK-009, SK-010, SK-037
leadership-decision-making-under-pressure-scorm12-AIhn49zc;CLT-09;Leadership & Decision-Making Under Pressure;CLT;SKILLS;;;0;;;SK-011
leadership-law-2-keep-it-simple-scorm12-dsimqrvx;CLT-10;Leadership Law 2: Keep it Simple;CLT;SKILLS;;Y;2;;Y;SK-011, SK-030, SK-037, SK-099
chapter-8-introduction-to-effective-communication-scorm12-k6p_uqpq;COMM-00;Chapter 8 Introduction to Effective Communication;COMM;SKILLS;;Y;1;;Y;SK-099, SK-100, SK-011, SK-016, SK-034
permit-required-confined-spaces-scorm12-Cq6_VtQw;CS-00;Permit-Required Confined Spaces;CS;SKILLS;;Y;9;;;SK-057, SK-081, SK-058, SK-083
boosting-self-regulation-scorm12-dmovz3bh;EQ-00;Boosting Self-Regulation;EQ;SKILLS;;Y;2;;Y;SK-109, SK-006, SK-106, SK-107
chapter-01-what-is-emotional-intelligence-eq-scorm12-byirin-l;EQ-01;Chapter 01 - What Is Emotional Intelligence (EQ)?;EQ;SKILLS;;Y;1;;Y;SK-107, SK-011, SK-079
chapter-6-enhancing-your-social-skills-scorm12-idczjurm;EQ-02;Chapter 6 - Enhancing Your Social Skills;EQ;SKILLS;;Y;1;;Y;SK-110, SK-011, SK-014, SK-023, SK-079
developing-empathy-scorm12-vhcmzfyl;EQ-03;Developing Empathy;EQ;SKILLS;;Y;2;;;SK-108, SK-106, SK-107
