Skill ID;Skill Name;Course Slug;Code;Series;Course Type;Awarded Level;Confidence
SK-113;Accubid;6900d60b-d412-4bc1-aab7-d068f5c8eb0e;ACC-00;ACC;SKILLS;Working;A
SK-006;Values Alignment;6900d60b-d412-4bc1-aab7-d068f5c8eb0e;ACC-00;ACC;SKILLS;Working;A
SK-055;Estimating;6900d60b-d412-4bc1-aab7-d068f5c8eb0e;ACC-00;ACC;SKILLS;Learning;B
SK-113;Accubid;learning-accubid-pro-scorm12-c6av2ijj;ACC-01;ACC;SKILLS;Working;A
SK-115;Accubid Fundamentals;learning-accubid-pro-scorm12-c6av2ijj;ACC-01;ACC;SKILLS;Working;A
SK-055;Estimating;learning-accubid-pro-scorm12-c6av2ijj;ACC-01;ACC;SKILLS;Learning;B
SK-102;Public Speaking;the-art-of-presenting-1-of-3-scorm12-8zxc6t4x;AOP-00;AOP;SKILLS;Working;C
SK-102;Public Speaking;the-art-of-presenting-2-of-3-scorm12-l_ebmf_n;AOP-01;AOP;SKILLS;Working;C
SK-102;Public Speaking;the-art-of-presenting-3-of-3-scorm12-medonbco;AOP-02;AOP;SKILLS;Working;C
SK-102;Public Speaking;the-art-of-presenting-chapter-1-the-power-of-great-presenting-scorm12-vamagq-w;AOP-03;AOP;SKILLS;Working;C
SK-102;Public Speaking;the-art-of-presenting-chapter-2-the-givers-mindset-scorm12-ku2y7zgl;AOP-04;AOP;SKILLS;Working;C
SK-102;Public Speaking;the-art-of-presenting-chapter-3-building-your-outline-scorm12-c-q6adkv;AOP-05;AOP;SKILLS;Working;C
SK-102;Public Speaking;the-art-of-presenting-chapter-5-a-preparing-to-present-scorm12-1s5yhlrb;AOP-06;AOP;SKILLS;Working;C
SK-102;Public Speaking;the-art-of-presenting-chapter-6-making-a-first-impression-scorm12-wmxcgy5v;AOP-07;AOP;SKILLS;Working;C
SK-102;Public Speaking;the-art-of-presenting-chapter-7-a-1-delivering-your-presentation-scorm12-bz_habq9;AOP-08;AOP;SKILLS;Working;C
SK-103;Slide Preparation;the-art-of-presenting-chapter-7-a-1-delivering-your-presentation-scorm12-bz_habq9;AOP-08;AOP;SKILLS;Working;C
SK-102;Public Speaking;the-art-of-presenting-chapter-7-a-delivering-your-presentation-scorm12-mda1rlln;AOP-09;AOP;SKILLS;Working;C
SK-103;Slide Preparation;the-art-of-presenting-chapter-7-a-delivering-your-presentation-scorm12-mda1rlln;AOP-09;AOP;SKILLS;Working;C
SK-102;Public Speaking;the-art-of-presenting-chapter-7-b-delivering-your-presentation-scorm12-w8rvumau;AOP-10;AOP;SKILLS;Working;C
SK-103;Slide Preparation;the-art-of-presenting-chapter-7-b-delivering-your-presentation-scorm12-w8rvumau;AOP-10;AOP;SKILLS;Working;C
SK-102;Public Speaking;the-art-of-presenting-chapter-7-d-delivering-your-presentation-scorm12-rqczlxog;AOP-11;AOP;SKILLS;Working;C
SK-103;Slide Preparation;the-art-of-presenting-chapter-7-d-delivering-your-presentation-scorm12-rqczlxog;AOP-11;AOP;SKILLS;Working;C
SK-102;Public Speaking;the-art-of-presenting-chapter-4-creating-your-slides-scorm12-0sloaxu1;AOP-12;AOP;SKILLS;Working;C
SK-103;Slide Preparation;the-art-of-presenting-chapter-4-creating-your-slides-scorm12-0sloaxu1;AOP-12;AOP;SKILLS;Working;C
SK-011;Leadership;chapter-0-introduction-to-critical-leadership-training-scorm12-qolorhhv;CLT-00;CLT;INTRO;Learning;B
SK-008;Accountability;chapter-0-introduction-to-critical-leadership-training-scorm12-qolorhhv;CLT-00;CLT;INTRO;Learning;B
SK-009;Accountability in Leadership;chapter-0-introduction-to-critical-leadership-training-scorm12-qolorhhv;CLT-00;CLT;INTRO;Learning;B
SK-010;Extreme Ownership;chapter-0-introduction-to-critical-leadership-training-scorm12-qolorhhv;CLT-00;CLT;INTRO;Learning;B
