"SOPID","FileName","Modified","ServerRelativeUrl","ItemId"
"9.2.010","9.2.010 ? 015 Team Selection and Project Turnover.docx","1/19/2026 7:44:18 PM","/sites/StandardOperationProcedures/Standard Operating Procedures/9.2.010 ? 015 Team Selection and Project Turnover.docx","261"
"9.2.010","9.2.010 ? Team Selection.docx","1/19/2026 7:44:18 PM","/sites/StandardOperationProcedures/Standard Operating Procedures/9.2.010 ? Team Selection.docx","259"
"9.2.020","9.2.020 ? Project Turnover Meeting.docx","1/19/2026 7:44:19 PM","/sites/StandardOperationProcedures/Standard Operating Procedures/9.2.020 ? Project Turnover Meeting.docx","264"
"9.2.020","9.2.020 ? Procurement of Large Feeder Wire.docx","1/19/2026 7:44:19 PM","/sites/StandardOperationProcedures/Standard Operating Procedures/9.2.020 ? Procurement of Large Feeder Wire.docx","263"
"9.2.030","9.2.030 ? 070 Scope and Contract Review.docx","1/19/2026 7:44:19 PM","/sites/StandardOperationProcedures/Standard Operating Procedures/9.2.030 ? 070 Scope and Contract Review.docx","266"
"9.2.030","9.2.030 ? Review Contract for Unfavorable or High Risk Clauses.docx","1/19/2026 7:45:51 PM","/sites/StandardOperationProcedures/Standard Operating Procedures/9.2.030 ? Review Contract for Unfavorable or High Risk Clauses.docx","265"
"9.2.040","9.2.040 ? Project Manager Reviews Plans, Specifications & Schedule.docx","1/19/2026 7:44:21 PM","/sites/StandardOperationProcedures/Standard Operating Procedures/9.2.040 ? Project Manager Reviews Plans, Specifications & Schedule.docx","268"
"9.2.040","9.2.040 ? PM Reviews Plans Specs and Schedule.docx","1/19/2026 7:44:20 PM","/sites/StandardOperationProcedures/Standard Operating Procedures/9.2.040 ? PM Reviews Plans Specs and Schedule.docx","267"
"9.2.050","9.2.050 ? Field Supervisor Reviews Plans, Specifications & Schedule.docx","1/19/2026 7:44:22 PM","/sites/StandardOperationProcedures/Standard Operating Procedures/9.2.050 ? Field Supervisor Reviews Plans, Specifications & Schedule.docx","270"
"9.2.050","9.2.050 ? FS Reviews Plans Specs and Schedule.docx","1/19/2026 7:44:22 PM","/sites/StandardOperationProcedures/Standard Operating Procedures/9.2.050 ? FS Reviews Plans Specs and Schedule.docx","269"
"9.2.060","9.2.060 ? Create List of Issues & Begin RFI Process.docx","1/19/2026 7:44:24 PM","/sites/StandardOperationProcedures/Standard Operating Procedures/9.2.060 ? Create List of Issues & Begin RFI Process.docx","274"
"9.2.060","9.2.060 ? Create Issue List and Begin RFI Process.docx","1/19/2026 7:44:24 PM","/sites/StandardOperationProcedures/Standard Operating Procedures/9.2.060 ? Create Issue List and Begin RFI Process.docx","273"
"9.2.100","9.2.100 ? Prepare Layout & Sequencing Plan.docx","1/19/2026 7:44:27 PM","/sites/StandardOperationProcedures/Standard Operating Procedures/9.2.100 ? Prepare Layout & Sequencing Plan.docx","282"
"9.2.100","9.2.100 ? Prepare Layout and Sequencing Plan.docx","1/19/2026 7:44:27 PM","/sites/StandardOperationProcedures/Standard Operating Procedures/9.2.100 ? Prepare Layout and Sequencing Plan.docx","281"
"9.2.120","9.2.120 ? Establish Tracking & Control Systems.docx","1/19/2026 7:44:28 PM","/sites/StandardOperationProcedures/Standard Operating Procedures/9.2.120 ? Establish Tracking & Control Systems.docx","286"
