SOPID,RACI_Responsible,RACI_Accountable,RACI_Consulted,RACI_Informed
9.1.050,Foreman,Project Manager,Estimator;Purchasing,
9.2.005,Project Manager,Branch Manager,Estimator;General Superintendent,
9.2.010,Project Manager,Project Manager,Branch Manager;General Superintendent;Prefab Lead;Purchasing;Safety Coordinator,Branch Manager;General Superintendent
9.2.015,,Project Manager,Estimator,Project Manager;Branch Manager;General Superintendent;Foreman;Prefab Lead;Safety Coordinator
9.2.020,Foreman,Project Manager,,General Superintendent
9.2.030,,Project Manager,,
9.2.040,,Project Manager,,
9.2.050,Foreman,Project Manager,,
9.2.055,,Project Manager,Estimator,General Superintendent
9.2.057,Foreman,Project Manager,Estimator,
9.2.060,Foreman,Project Manager,,Project Manager;General Superintendent
9.2.070,General Superintendent,Project Manager,General Superintendent,
9.2.080,Foreman,Project Manager,,
9.2.090,,Project Manager,Estimator,General Superintendent
9.2.100,General Superintendent,Project Manager,Foreman;Safety Coordinator,
9.2.110,,Project Manager,Purchasing,General Superintendent
9.2.120,Foreman,Project Manager,Purchasing,
9.2.130,Foreman,Project Manager,Purchasing,General Superintendent
9.2.140,Accounting,Project Manager,Estimator,
9.2.160,Project Manager,Branch Manager,General Superintendent;Purchasing,
9.3.010,Site Administrator,Project Manager,,General Superintendent;IT/Communications
9.3.020,Foreman,Project Manager,,
9.3.030,Foreman,Project Manager,,Security Personnel
9.3.040,Foreman,Project Manager,,
9.3.050,Foreman,Project Manager,,
9.3.060,Foreman,Project Manager,,
9.3.070,Foreman,Project Manager,,
9.3.080,Foreman,Project Manager,,
9.3.090,Foreman,Project Manager,,Security Personnel
9.3.100,Foreman,Project Manager,,
9.3.110,Foreman,Project Manager,,Equipment Operators
9.3.120,Foreman,Project Manager,,
9.3.470,Foreman,Project Manager,,
9.4.010,Foreman,Project Manager,,Design Team / Consultants
9.4.020,Foreman,Project Manager,,
9.4.030,,Project Manager,Client/Owner,
9.4.040,Foreman,Project Manager,,All Employees;General Superintendent;Prefab Lead
9.4.050,Prefab Lead,Project Manager,Foreman;General Superintendent,
9.4.060,Foreman,Project Manager,,Quality Inspector
9.4.190,Project Manager,Project Manager,Asst. Project Manager;Branch Manager;General Superintendent;Site Administrator,Foreman
9.4.195,Site Administrator,Project Manager,,
9.4.200,Subcontractors,Project Manager,Purchasing,
9.4.205,Subcontractors,,,
9.4.210,Site Administrator,,,
9.4.215,Subcontractors,,,
9.4.220,Subcontractors,,,
9.4.225,Subcontractors,,,
9.4.230,Subcontractors,,,
9.4.235,,,,Regulatory Authorities
9.4.240,Subcontractors,,,
9.4.270,Project Manager,Project Manager,,
9.4.275,Project Manager,Project Manager,,
9.4.280,Project Manager,Project Manager,,
9.4.285,Project Manager,Project Manager,,
9.4.290,Project Manager,Project Manager,,
9.4.295,Project Manager,Project Manager,,
9.4.300,Foreman,Project Manager,,
9.4.305,Project Manager,Project Manager,,
9.4.310,Foreman,Project Manager,,
9.4.315,,Project Manager,,General Superintendent
9.4.320,,Project Manager,,General Superintendent
9.4.325,,Project Manager,,General Superintendent
9.4.330,,Project Manager,,General Superintendent
9.4.335,Foreman,Project Manager,,General Superintendent
9.4.340,Foreman,Project Manager,,General Superintendent
9.4.345,Foreman,Project Manager,,Design Team / Consultants;General Superintendent
9.4.350,Site Administrator,Project Manager,,
9.4.355,,Project Manager,,
9.4.360,Site Administrator,Project Manager,Estimator,
9.4.365,,Project Manager,Estimator,
9.4.370,,Project Manager,,
9.4.375,,Project Manager,Estimator,
9.4.380,Accounting,Project Manager,,
9.4.385,Foreman,Project Manager,,
9.4.390,Site Administrator,Project Manager,Estimator;Legal Counsel,
9.4.400,Accounting,Project Manager,,
9.4.405,Accounting,Project Manager,,
9.4.410,Accounting,Project Manager,,
9.4.415,Accounting,Project Manager,,
9.4.420,Accounting,Project Manager,,
9.4.425,Accounting,Project Manager,,
9.4.430,Accounting,Project Manager,,
9.4.435,Accounting,Project Manager,,
9.4.440,,Project Manager,Client/Owner,
9.4.445,Accounting,Project Manager,Client/Owner,
9.4.450,Accounting,Project Manager,,
9.4.455,Accounting,Project Manager,,
9.4.460,Accounting,Project Manager,,
9.4.465,Accounting,Project Manager,,
9.4.475,Foreman,Project Manager,,
9.4.480,Foreman,Project Manager,,
9.4.485,Foreman,Project Manager,,
9.4.490,Foreman,Project Manager,,
9.4.495,Foreman,Project Manager,Legal Counsel,
9.4.500,Safety Coordinator,Project Manager,,
9.4.505,Safety Coordinator,Project Manager,,
9.4.510,Safety Coordinator,Project Manager,,
9.4.515,Quality Inspector,Project Manager,,
9.4.520,Quality Inspector,Project Manager,,
9.4.525,Quality Inspector,Project Manager,,
9.4.530,Quality Inspector,Project Manager,,
9.4.535,Quality Inspector,Project Manager,,
9.4.540,Quality Inspector,Project Manager,,
9.4.545,Quality Inspector,Project Manager,,
9.4.560,,Project Manager,,
9.4.560,,Project Manager,,
9.4.565,,Project Manager,,
9.4.570,,Project Manager,,
9.4.575,,Project Manager,,
9.4.580,,Project Manager,,
9.4.585,,Project Manager,,
9.4.590,,Project Manager,,
9.4.595,,Project Manager,,
9.4.605,Purchasing,Project Manager,,
9.4.610,Purchasing,Project Manager,,
9.4.615,Purchasing,Project Manager,,
9.4.620,Purchasing,Project Manager,,
9.4.625,Purchasing,Project Manager,,
9.4.630,Purchasing,Project Manager,,
9.4.631 ,Purchasing,Project Manager,,
9.4.635,Purchasing,Project Manager,,
9.4.640,Purchasing,Project Manager,,
9.4.645,Purchasing,Project Manager,,
9.4.650,Purchasing,Project Manager,,
9.4.655,Purchasing,Project Manager,,
9.4.660,Purchasing,Project Manager,,
9.4.665,Purchasing,Project Manager,,
9.4.670,Purchasing,Project Manager,,
9.4.675,General Superintendent,Project Manager,,
9.4.680,General Superintendent,Project Manager,,
9.4.690,General Superintendent,Project Manager,,
9.4.695,General Superintendent,Project Manager,,
9.4.700,General Superintendent,Project Manager,,
9.4.705,General Superintendent,Project Manager,,
9.4.710,General Superintendent,Project Manager,,
9.4.715,General Superintendent,Project Manager,,
9.4.720,General Superintendent,Project Manager,,
9.4.725,General Superintendent,Project Manager,,
9.4.735,General Superintendent,Project Manager,,
9.4.745,Asst. Project Manager,Project Manager,Asst. Project Manager;Foreman;General Superintendent;Project Manager;Quality Inspector,Accounting;Asst. Project Manager;Crew;Foreman;General Superintendent;Quality Inspector
9.4.755,General Superintendent,Project Manager,,
9.5.015,Project Manager,Branch Manager,,
9.5.020,Project Manager,Branch Manager,,
9.5.550,Project Manager,Branch Manager,,
9.6.005,Project Manager,Project Manager,,
9.6.010,Foreman,Project Manager,Client/Owner,
9.6.020,Subcontractors,,,
9.6.030,Project Manager,Project Manager,,
9.6.030,Project Manager,Project Manager,,
9.6.040,Project Manager,Project Manager,,
9.6.050,Project Manager,Project Manager,,
9.6.050,Project Manager,Project Manager,,
9.6.060,Project Manager,Project Manager,,
9.6.065,Project Manager,Project Manager,,
9.6.070,,Project Manager,,
9.6.080,Business Development,Project Manager,,
9.6.085,Quality Inspector,Project Manager,,
