"SOPID","Title","FileName","Status","Department","Roles_RACI","RACI_R","RACI_A","RACI_C","RACI_I"
,,"Templates",,,"",,,"",""
,,"Appendix",,,"",,,"",""
,,"ARCHIVE",,,"",,,"",""
,"GSL Release Conditions for Wire and Cable","GSL Release Conditions for Wire and Cable.docx","Approved",,"",,,"",""
"9.5.020","Handling and or Disposing of Excess Materials","9.5.020 – Handling and or Disposing of Excess Materials.docx","Draft","Operations","Branch Manager; Project Manager","Project Manager","Branch Manager","",""
,,"GSL_SOP_Master_Template_SHAREPOINT_ENABLED (v1).docx","Draft",,"",,,"",""
"9.2.005","Review Contract for High Risk Clauses","9.2.005 – Review Contract for High Risk Clauses.docx","Draft","Operations","Branch Manager; Estimator; General Superintendent; Project Manager","Project Manager","Branch Manager","Estimator; General Superintendent",""
"9.2.010","Team Selection","9.2.010 – Team Selection.docx","Draft","Operations","Branch Manager; General Superintendent; Prefab Lead; Project Manager; Purchasing; Safety Coordinator","Project Manager","Project Manager","Branch Manager; General Superintendent; Prefab Lead; Purchasing; Safety Coordinator","Branch Manager; General Superintendent"
"9.2.015","Project Turnover Meeting","9.2.015 – Project Turnover Meeting.docx","Draft","Operations","Branch Manager; Estimator; Foreman; General Superintendent; Prefab Lead; Project Manager; Safety Coordinator","Project Manager","Project Manager","Estimator","Branch Manager; Foreman; General Superintendent; Prefab Lead; Project Manager; Safety Coordinator"
"9.2.020","Procurement of Large Feeder Wire","9.2.020 – Procurement of Large Feeder Wire.docx","Draft","Operations","Foreman; General Superintendent; Project Manager","Foreman","Project Manager","","General Superintendent"
"9.2.030","Review Contract for Unfavorable or High Risk Clauses","9.2.030 – Review Contract for Unfavorable or High Risk Clauses.docx","Draft","Operations","Project Manager","Project Manager","Project Manager","",""
"9.2.040","Project Manager Reviews Plans, Specifications & Schedule","9.2.040 – Project Manager Reviews Plans, Specifications & Schedule.docx","Draft","Operations","Project Manager","Project Manager","Project Manager","",""
"9.2.050","Field Supervisor Reviews Plans, Specifications & Schedule","9.2.050 – Field Supervisor Reviews Plans, Specifications & Schedule.docx","Draft","Operations","Foreman; Project Manager","Foreman","Project Manager","",""
"9.2.057","Identify VE and Prefabrication Opportunities","9.2.057 – Identify VE and Prefabrication Opportunities.docx","Draft","Operations","Estimator; Foreman; Project Manager","Foreman","Project Manager","Estimator",""
"9.2.060","Create Issue List and Begin RFI Process","9.2.060 – Create Issue List and Begin RFI Process.docx","Draft","Operations","Foreman; General Superintendent; Project Manager","Foreman","Project Manager","","General Superintendent; Project Manager"
"9.2.070","Conduct Site Visit","9.2.070 – Conduct Site Visit.docx","Draft","Operations","General Superintendent; Project Manager","General Superintendent","Project Manager","General Superintendent",""
"9.2.080","Prepare Material Handling Plan","9.2.080 – Prepare Material Handling Plan.docx","Draft","Operations","Foreman; Project Manager","Foreman","Project Manager","",""
"9.2.090","Develop Labor Budget","9.2.090 – Develop Labor Budget.docx","Draft","Operations","Estimator; General Superintendent; Project Manager","Project Manager","Project Manager","Estimator","General Superintendent"
"9.2.100","Prepare Layout & Sequencing Plan","9.2.100 – Prepare Layout & Sequencing Plan.docx","Draft","Operations","Foreman; General Superintendent; Project Manager; Safety Coordinator","General Superintendent","Project Manager","Foreman; Safety Coordinator",""
"9.2.110","Develop Project Schedule","9.2.110 – Develop Project Schedule.docx","Draft","Operations","General Superintendent; Project Manager; Purchasing","Project Manager","Project Manager","Purchasing","General Superintendent"
"9.2.120","Establish Tracking & Control Systems","9.2.120 – Establish Tracking & Control Systems.docx","Draft","Operations","Foreman; Project Manager; Purchasing","Foreman","Project Manager","Purchasing",""
"9.2.130","Construction Execution Kickoff Meeting","9.2.130 – Construction Execution Kickoff Meeting.docx","Draft","Operations","Foreman; General Superintendent; Project Manager; Purchasing","Foreman","Project Manager","Purchasing","General Superintendent"
"9.2.140","Develop Project Budget","9.2.140 – Develop Project Budget.docx","Draft","Operations","Accounting; Estimator; Project Manager","Accounting","Project Manager","Estimator",""
"9.2.160","Develop Procurement Plan","9.2.160 – Develop Procurement Plan.docx","Draft","Operations","Branch Manager; General Superintendent; Project Manager; Purchasing","Project Manager","Branch Manager","General Superintendent; Purchasing",""
"9.3.010","Setup Office Trailer","9.3.010 – Setup Office Trailer.docx","Draft","Operations","General Superintendent; IT/Communications; Project Manager; Site Administrator","Site Administrator","Project Manager","","General Superintendent; IT/Communications"
"9.3.020","Setup Storage Trailer","9.3.020 – Setup Storage Trailer.docx","Draft","Operations","Foreman; Project Manager","Foreman","Project Manager","",""
"9.3.030","Setup Site Fencing and Access Control","9.3.030 – Setup Site Fencing and Access Control.docx","Draft","Operations","Foreman; Project Manager; Security Personnel","Foreman","Project Manager","","Security Personnel"
"9.3.040","Setup Temporary Power","9.3.040 – Setup Temporary Power.docx","Draft","Operations","Foreman; Project Manager","Foreman","Project Manager","",""
"9.3.050","Setup Temporary Water","9.3.050 – Setup Temporary Water.docx","Draft","Operations","Foreman; Project Manager","Foreman","Project Manager","",""
"9.3.060","Setup Sanitary Facilities","9.3.060 – Setup Sanitary Facilities.docx","Draft","Operations","Foreman; Project Manager","Foreman","Project Manager","",""
"9.3.070","Setup Temporary Lighting","9.3.070 – Setup Temporary Lighting.docx","Draft","Operations","Foreman; Project Manager","Foreman","Project Manager","",""
"9.3.080","Setup Signage","9.3.080 – Setup Signage.docx","Draft","Operations","Foreman; Project Manager","Foreman","Project Manager","",""
"9.3.090","Setup Security","9.3.090 – Setup Security.docx","Draft","Operations","Foreman; Project Manager; Security Personnel","Foreman","Project Manager","","Security Personnel"
"9.3.100","Setup Laydown Area","9.3.100 – Setup Laydown Area.docx","Draft","Operations","Foreman; Project Manager","Foreman","Project Manager","",""
"9.3.110","Setup Equipment Staging","9.3.110 – Setup Equipment Staging.docx","Draft","Operations","Equipment Operators; Foreman; Project Manager","Foreman","Project Manager","","Equipment Operators"
"9.3.120","Setup Parking","9.3.120 – Setup Parking.docx","Draft","Operations","Foreman; Project Manager","Foreman","Project Manager","",""
"9.3.470","Develop Site Specific Safety Plan","9.3.470 – Develop Site Specific Safety Plan.docx","Draft","Operations","Foreman; Project Manager","Foreman","Project Manager","",""
"9.4.010","Conduct Coordination Meetings","9.4.010 – Conduct Coordination Meetings.docx","Draft","Operations","Design Team / Consultants; Foreman; Project Manager","Foreman","Project Manager","","Design Team / Consultants"
"9.4.020","Conduct Subcontractor Coordination Meetings","9.4.020 – Conduct Subcontractor Coordination Meetings.docx","Draft","Operations","Foreman; Project Manager","Foreman","Project Manager","",""
"9.4.030","Conduct Client Owner Meetings","9.4.030 – Conduct Client Owner Meetings.docx","Draft","Operations","Client/Owner; Project Manager","Project Manager","Project Manager","Client/Owner",""
"9.4.040","Compare Estimated vs. Planned Performance","9.2.055 – Compare Estimated vs Planned Performance.docx","Draft","Operations","All Employees; Foreman; General Superintendent; Prefab Lead; Project Manager","Foreman","Project Manager","","All Employees; General Superintendent; Prefab Lead"
"9.4.040","Conduct Safety Meetings","9.4.040 – Conduct Safety Meetings.docx","Draft","Operations","All Employees; Foreman; General Superintendent; Prefab Lead; Project Manager","Foreman","Project Manager","","All Employees; General Superintendent; Prefab Lead"
"9.4.045","Identify Value Engineering & Prefabrication Opportunities","9.4.045 – Identify Value Engineering & Prefabrication Opportunities.docx","Draft","Operations","Estimator; General Superintendent; Prefab Lead; Project Manager","Project Manager","Project Manager","Estimator; General Superintendent; Prefab Lead",""
"9.4.050","Conduct Prefabrication Coordination Meetings","9.4.050 – Conduct Prefabrication Coordination Meetings.docx","Draft","Operations","Foreman; General Superintendent; Prefab Lead; Project Manager","Prefab Lead","Project Manager","Foreman; General Superintendent",""
"9.1.050","Prepare Construction Takeoff","9.1.050 – Prepare Construction Takeoff.docx","Draft","Operations","Estimator; Lead Estimator; Chief Estimator","Estimator","Lead Estimator","Branch Manager; Lead Estimator; Chief Estimator","Branch Manager; Lead Estimator; Chief Estimator"
"9.4.055","1 Procurement of Large Feeder Wire","9.4.055 – 1 Procurement of Large Feeder Wire.docx","Draft","Operations","Foreman; General Superintendent; Project Manager; Purchasing","Purchasing","Project Manager","General Superintendent","Foreman"
"9.4.060","Conduct Quality Meetings","9.4.060 – Conduct Quality Meetings.docx","Draft","Operations","Foreman; Project Manager; Quality Inspector","Foreman","Project Manager","","Quality Inspector"
"9.4.190","A Document Filing Standards","9.4.190 – A Document Filing Standards.docx","Draft","Operations","Asst. Project Manager; Branch Manager; Foreman; General Superintendent; Project Manager; Site Administrator","Project Manager","Project Manager","Asst. Project Manager; Branch Manager; General Superintendent; Site Administrator","Foreman"
"9.4.195","Manage Project Documentation System","9.4.195 – Manage Project Documentation System.docx","Draft","Operations","Project Manager; Site Administrator","Site Administrator","Project Manager","",""
"9.4.200","Manage Submittals","9.4.200 – Manage Submittals.docx","Draft","Operations","Project Manager; Purchasing; Subcontractors","Subcontractors","Project Manager","Purchasing",""
"9.4.205","Manage RF Is (Requests for Information)","9.4.205 – Manage RF Is (Requests for Information).docx","Draft","Operations","Project Manager; Subcontractors","Subcontractors","Project Manager","",""
"9.4.210","Manage Meeting Minutes","9.4.210 – Manage Meeting Minutes.docx","Draft","Operations","Project Manager; Site Administrator","Site Administrator","Project Manager","",""
"9.4.215","Manage Daily Reports","9.4.215 – Manage Daily Reports.docx","Draft","Operations","Project Manager; Subcontractors","Subcontractors","Project Manager","",""
"9.4.220","Manage Drawing Logs","9.4.220 – Manage Drawing Logs.docx","Draft","Operations","Project Manager; Subcontractors","Subcontractors","Project Manager","",""
"9.4.225","Manage Specifications","9.4.225 – Manage Specifications.docx","Draft","Operations","Project Manager; Subcontractors","Subcontractors","Project Manager","",""
"9.4.230","Manage Correspondence","9.4.230 – Manage Correspondence.docx","Draft","Operations","Project Manager; Subcontractors","Subcontractors","Project Manager","",""
"9.4.235","Manage Permits","9.4.235 – Manage Permits.docx","Draft","Operations","Project Manager; Regulatory Authorities; Site Administrator","Site Administrator","Project Manager","","Regulatory Authorities"
"9.4.240","Manage Inspection Reports","9.4.240 – Manage Inspection Reports.docx","Draft","Operations","Project Manager; Subcontractors","Subcontractors","Project Manager","",""
